trial_id,trial_gene_set
194,"('H19', 'MYL7', 'MYL9', 'TNNC1', 'TIMP1', 'FTL')"
195,"('H19', 'MYL7', 'MYL9', 'TNNC1', 'TIMP1', 'FTH1')"
196,"('H19', 'MYL7', 'MYL9', 'TNNC1', 'HSPB1', 'HSPA8')"
197,"('H19', 'MYL7', 'MYL9', 'TNNC1', 'HSPB1', 'FTL')"
198,"('H19', 'MYL7', 'MYL9', 'TNNC1', 'HSPB1', 'FTH1')"
199,"('H19', 'MYL7', 'MYL9', 'TNNC1', 'HSPA8', 'FTL')"
200,"('H19', 'MYL7', 'MYL9', 'TNNC1', 'HSPA8', 'FTH1')"
201,"('H19', 'MYL7', 'MYL9', 'TNNC1', 'FTL', 'FTH1')"
202,"('H19', 'MYL7', 'MYL9', 'MYL4', 'TPM1', 'UBC')"
203,"('H19', 'MYL7', 'MYL9', 'MYL4', 'TPM1', 'UBB')"
204,"('H19', 'MYL7', 'MYL9', 'MYL4', 'TPM1', 'TIMP1')"
205,"('H19', 'MYL7', 'MYL9', 'MYL4', 'TPM1', 'HSPB1')"
206,"('H19', 'MYL7', 'MYL9', 'MYL4', 'TPM1', 'HSPA8')"
207,"('H19', 'MYL7', 'MYL9', 'MYL4', 'TPM1', 'FTL')"
208,"('H19', 'MYL7', 'MYL9', 'MYL4', 'TPM1', 'FTH1')"
209,"('H19', 'MYL7', 'MYL9', 'MYL4', 'UBC', 'UBB')"
210,"('H19', 'MYL7', 'MYL9', 'MYL4', 'UBC', 'TIMP1')"
211,"('H19', 'MYL7', 'MYL9', 'MYL4', 'UBC', 'HSPB1')"
212,"('H19', 'MYL7', 'MYL9', 'MYL4', 'UBC', 'HSPA8')"
213,"('H19', 'MYL7', 'MYL9', 'MYL4', 'UBC', 'FTL')"
214,"('H19', 'MYL7', 'MYL9', 'MYL4', 'UBC', 'FTH1')"
215,"('H19', 'MYL7', 'MYL9', 'MYL4', 'UBB', 'TIMP1')"
216,"('H19', 'MYL7', 'MYL9', 'MYL4', 'UBB', 'HSPB1')"
217,"('H19', 'MYL7', 'MYL9', 'MYL4', 'UBB', 'HSPA8')"
218,"('H19', 'MYL7', 'MYL9', 'MYL4', 'UBB', 'FTL')"
219,"('H19', 'MYL7', 'MYL9', 'MYL4', 'UBB', 'FTH1')"
220,"('H19', 'MYL7', 'MYL9', 'MYL4', 'TIMP1', 'HSPB1')"
221,"('H19', 'MYL7', 'MYL9', 'MYL4', 'TIMP1', 'HSPA8')"
222,"('H19', 'MYL7', 'MYL9', 'MYL4', 'TIMP1', 'FTL')"
223,"('H19', 'MYL7', 'MYL9', 'MYL4', 'TIMP1', 'FTH1')"
224,"('H19', 'MYL7', 'MYL9', 'MYL4', 'HSPB1', 'HSPA8')"
225,"('H19', 'MYL7', 'MYL9', 'MYL4', 'HSPB1', 'FTL')"
226,"('H19', 'MYL7', 'MYL9', 'MYL4', 'HSPB1', 'FTH1')"
227,"('H19', 'MYL7', 'MYL9', 'MYL4', 'HSPA8', 'FTL')"
228,"('H19', 'MYL7', 'MYL9', 'MYL4', 'HSPA8', 'FTH1')"
229,"('H19', 'MYL7', 'MYL9', 'MYL4', 'FTL', 'FTH1')"
230,"('H19', 'MYL7', 'MYL9', 'TPM1', 'UBC', 'UBB')"
231,"('H19', 'MYL7', 'MYL9', 'TPM1', 'UBC', 'TIMP1')"
232,"('H19', 'MYL7', 'MYL9', 'TPM1', 'UBC', 'HSPB1')"
233,"('H19', 'MYL7', 'MYL9', 'TPM1', 'UBC', 'HSPA8')"
234,"('H19', 'MYL7', 'MYL9', 'TPM1', 'UBC', 'FTL')"
235,"('H19', 'MYL7', 'MYL9', 'TPM1', 'UBC', 'FTH1')"
236,"('H19', 'MYL7', 'MYL9', 'TPM1', 'UBB', 'TIMP1')"
237,"('H19', 'MYL7', 'MYL9', 'TPM1', 'UBB', 'HSPB1')"
238,"('H19', 'MYL7', 'MYL9', 'TPM1', 'UBB', 'HSPA8')"
239,"('H19', 'MYL7', 'MYL9', 'TPM1', 'UBB', 'FTL')"
240,"('H19', 'MYL7', 'MYL9', 'TPM1', 'UBB', 'FTH1')"
241,"('H19', 'MYL7', 'MYL9', 'TPM1', 'TIMP1', 'HSPB1')"
242,"('H19', 'MYL7', 'MYL9', 'TPM1', 'TIMP1', 'HSPA8')"
243,"('H19', 'MYL7', 'MYL9', 'TPM1', 'TIMP1', 'FTL')"
244,"('H19', 'MYL7', 'MYL9', 'TPM1', 'TIMP1', 'FTH1')"
245,"('H19', 'MYL7', 'MYL9', 'TPM1', 'HSPB1', 'HSPA8')"
246,"('H19', 'MYL7', 'MYL9', 'TPM1', 'HSPB1', 'FTL')"
247,"('H19', 'MYL7', 'MYL9', 'TPM1', 'HSPB1', 'FTH1')"
248,"('H19', 'MYL7', 'MYL9', 'TPM1', 'HSPA8', 'FTL')"
249,"('H19', 'MYL7', 'MYL9', 'TPM1', 'HSPA8', 'FTH1')"
250,"('H19', 'MYL7', 'MYL9', 'TPM1', 'FTL', 'FTH1')"
251,"('H19', 'MYL7', 'MYL9', 'UBC', 'UBB', 'TIMP1')"
252,"('H19', 'MYL7', 'MYL9', 'UBC', 'UBB', 'HSPB1')"
253,"('H19', 'MYL7', 'MYL9', 'UBC', 'UBB', 'HSPA8')"
254,"('H19', 'MYL7', 'MYL9', 'UBC', 'UBB', 'FTL')"
255,"('H19', 'MYL7', 'MYL9', 'UBC', 'UBB', 'FTH1')"
256,"('H19', 'MYL7', 'MYL9', 'UBC', 'TIMP1', 'HSPB1')"
257,"('H19', 'MYL7', 'MYL9', 'UBC', 'TIMP1', 'HSPA8')"
258,"('H19', 'MYL7', 'MYL9', 'UBC', 'TIMP1', 'FTL')"
259,"('H19', 'MYL7', 'MYL9', 'UBC', 'TIMP1', 'FTH1')"
260,"('H19', 'MYL7', 'MYL9', 'UBC', 'HSPB1', 'HSPA8')"
261,"('H19', 'MYL7', 'MYL9', 'UBC', 'HSPB1', 'FTL')"
262,"('H19', 'MYL7', 'MYL9', 'UBC', 'HSPB1', 'FTH1')"
263,"('H19', 'MYL7', 'MYL9', 'UBC', 'HSPA8', 'FTL')"
